,genome name,species
241,ESC_AA8380AA_AS.fasta,Escherichia coli
242,ESC_HA7807AA_AS.fasta,Escherichia coli KTE212
243,ESC_HA8347AA_AS.fasta,Escherichia coli
244,ESC_IA1142AA_AS.fasta,Escherichia coli
245,ESC_PA0715AA_AS.fasta,Escherichia coli 3.4870
246,ESC_CA5123AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
247,ESC_AA9112AA_AS.fasta,Escherichia coli
248,ESC_HA8026AA_AS.fasta,Escherichia coli
249,ESC_GA3664AA_AS.fasta,Escherichia coli 3.2608
250,ESC_HA8459AA_AS.fasta,Escherichia coli KTE61
251,ESC_HA4835AA_AS.fasta,Escherichia coli O157:H7
252,ESC_HA9076AA_AS.fasta,Escherichia coli
253,ESC_NA8387AA_AS.fasta,Escherichia coli
254,ESC_HA7951AA_AS.fasta,Escherichia coli
255,ESC_LA5770AA_AS.fasta,Escherichia coli
256,ESC_AA9850AA_AS.fasta,Escherichia coli
257,ESC_IA8156AA_AS.fasta,Escherichia coli B95
258,ESC_BA0753AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
259,ESC_GA8820AA_AS.fasta,Escherichia coli
260,ESC_HA8388AA_AS.fasta,Escherichia coli IAI1
261,ESC_LA5513AA_AS.fasta,Escherichia coli PA9
262,ESC_PA1948AA_AS.fasta,Escherichia coli B95
263,ESC_HA7510AA_AS.fasta,Escherichia coli
264,ESC_HA4960AA_AS.fasta,Escherichia coli O157:H7
265,ESC_CA0144AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2113
266,ESC_HA7465AA_AS.fasta,Escherichia coli O157:H7
267,ESC_IA6446AA_AS.fasta,Escherichia coli O113:H21 str. CL-3
268,ESC_GA9683AA_AS.fasta,Escherichia coli EC1846
269,ESC_IA1171AA_AS.fasta,Escherichia coli
270,ESC_GA6866AA_AS.fasta,Escherichia coli 1365
271,ESC_IA1485AA_AS.fasta,Escherichia coli ONT:H33 str. C48/93
272,ESC_GA9154AA_AS.fasta,Escherichia coli
273,ESC_BA7839AA_AS.fasta,Escherichia coli
274,ESC_GA0141AA_AS.fasta,Escherichia coli IAI1
275,ESC_CA0403AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
276,ESC_HA5836AA_AS.fasta,Escherichia coli
277,ESC_HA8238AA_AS.fasta,Escherichia coli
278,ESC_BA2347AA_AS.fasta,Escherichia coli
279,ESC_PA1940AA_AS.fasta,Escherichia coli
280,ESC_FA6810AA_AS.fasta,Escherichia coli 1303
281,ESC_GA6492AA_AS.fasta,Escherichia coli
282,ESC_HA8170AA_AS.fasta,Escherichia coli
283,ESC_GA9671AA_AS.fasta,Escherichia coli PA9
284,ESC_KA9617AA_AS.fasta,Escherichia coli O157:H7 str. SS52
285,ESC_PA0791AA_AS.fasta,Escherichia coli FRIK1990
286,ESC_IA8195AA_AS.fasta,Escherichia coli O157:H7
287,ESC_HA4915AA_AS.fasta,Escherichia coli PA5
